Timestamp,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Policy,Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,
15:01:08.955 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,14286,0,0,0,0,
15:01:30.573 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),1300,111294,0,0,0,0,
15:01:52.183 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),87,193577,0,0,0,0,
15:02:13.962 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,188320,0,0,0,0,
15:02:35.644 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),3626,149120,0,0,0,0,
15:02:57.210 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,1026,0,0,0,0,
15:03:18.700 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,3171,0,0,0,0,
15:03:40.472 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,0,0,0,0,0,
15:04:02.217 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),3200,6273,0,0,0,734,
15:04:24.063 EST Mon Nov 18 2013,class-map copp-system-class-critical (match-any),0,0,0,0,0,0,class-map copp-system-class-important (match-any),0,0,0,0,0,0,class-map copp-system-class-management (match-any),0,0,0,0,0,0,class-map copp-system-class-normal (match-any),0,0,0,0,0,0,class-map copp-system-class-redirect (match-any),0,0,0,0,0,0,class-map copp-system-class-monitoring (match-any),0,0,0,0,0,0,class-map copp-system-class-exception (match-any),0,0,0,0,0,0,class-map copp-system-class-undesirable (match-any),0,0,0,0,0,0,class-map class-default (match-any),0,0,0,0,0,0,
